rounds,representation,model,accuracy,roc_auc,true_negative,false_positive,false_negative,true_positive,true_positive_rate,true_negative_rate,balanced_accuracy,loss,accuracy_std,roc_auc_std,true_negative_std,false_positive_std,false_negative_std,true_positive_std,true_positive_rate_std,true_negative_rate_std,balanced_accuracy_std,loss_std,effective_seed_count,num_seeds
7,concat,cnn,0.4853333333333333,0.4847122945794812,594.5,928.5,615.5,861.5,0.583276912660799,0.3903479973736047,0.4868124550172018,0.7024884860515594,0.0033333333333333,0.0017202933489696,194.5,194.5,184.5,184.5,0.1249153689911983,0.1277084701247537,0.0013965505667776,0.003639949719111,0,2
7,concat,mlp,0.5098333333333334,0.5014488962071527,722.5,800.5,670.0,807.0,0.5463777928232905,0.474392646093237,0.5103852194582638,0.7103238706588745,0.0041666666666666,0.0072427028399121,45.5,45.5,33.0,33.0,0.0223425863236289,0.0298752462245567,0.0037663299504638,0.0037067553202311,0,2
7,concat,siamese,0.4861666666666666,0.485756206681482,850.0,673.0,868.5,608.5,0.4119837508463101,0.5581089954038083,0.4850463731250591,0.742152427514394,0.0044999999999999,0.0077860528097494,98.0,98.0,111.5,111.5,0.0754908598510494,0.0643466841759684,0.0055720878375404,0.0019925761222839,0,2
7,delta,cnn,0.5033333333333333,0.5031478512059058,949.5,573.5,916.5,560.5,0.3794854434664861,0.6234405778069599,0.501463010636723,0.704405000448227,0.0059999999999999,0.0057766914976898,31.5,31.5,49.5,49.5,0.0335138794854434,0.0206828627708469,0.0064155083572982,0.0050498931407928,0,2
7,delta,mlp,0.4955,0.4850748242586812,783.0,740.0,773.5,703.5,0.476303317535545,0.5141168745896257,0.4952100960625853,0.7148250869909922,0.0041666666666666,0.0024066769476023,16.0,16.0,3.5,3.5,0.0023696682464455,0.010505581089954,0.0040679564217542,0.0001628390153248,0,2
7,delta,siamese,0.4938333333333333,0.4970401930053777,757.5,765.5,753.0,724.0,0.4901828029790115,0.4973736047275114,0.4937782038532615,0.7125679091612498,0.0128333333333333,0.0070378769052813,152.5,152.5,114.0,114.0,0.0771834800270819,0.1001313197636244,0.0114739198682712,0.0023712535699208,0,2
7,delta_stats,cnn,0.496,0.4984420781597095,938.0,585.0,927.0,550.0,0.3723764387271496,0.6158896913985554,0.4941330650628525,0.7009714403152465,0.004,0.0012107291003085,72.0,72.0,84.0,84.0,0.0568720379146919,0.0472751149047931,0.0047984615049493,0.0062977817853292,0,2
7,delta_stats,mlp,0.4918333333333333,0.4844991333517969,817.0,706.0,818.5,658.5,0.44583615436696,0.5364412344057781,0.491138694386369,0.7100584068298339,0.0068333333333333,0.0015929300711144,47.0,47.0,26.5,26.5,0.0179417738659444,0.03086014445174,0.0064591852928977,0.0035776696205139,0,2
7,delta_stats,siamese,0.4923333333333333,0.4893918392368694,606.5,916.5,606.5,870.5,0.5893703452945158,0.3982271831910702,0.493798764242793,0.7191713590621949,0.006,0.0042684480039973,69.5,69.5,51.5,51.5,0.0348679756262694,0.0456336178594878,0.0053828211166092,0.0117809842427571,0,2
7,joint,cnn,0.5006666666666667,0.494295325434291,702.0,821.0,677.0,800.0,0.5416384563303994,0.4609323703217334,0.5012854133260665,0.6976947592894236,0.005,0.0025259272068855,200.0,200.0,215.0,215.0,0.1455653351387948,0.1313197636244255,0.0071227857571847,0.0001169944604237,0,2
