rounds,representation,model,train_seed,accuracy,roc_auc,true_negative,false_positive,false_negative,true_positive,true_positive_rate,true_negative_rate,balanced_accuracy,loss
6,delta_stats,mlp,1337,0.5106666666666667,0.513013925139927,678,806,662,854,0.5633245382585752,0.4568733153638814,0.5100989268112284,0.7041043256123861
6,delta_stats,mlp,2027,0.499,0.5058715569415898,798,686,817,699,0.4610817941952506,0.5377358490566038,0.4994088216259272,0.7002749314308166
7,delta_stats,mlp,1337,0.4986666666666666,0.4860920634229114,864,659,845,632,0.4278943805010156,0.5673013788575181,0.4975978796792668,0.70648073720932
7,delta_stats,mlp,2027,0.485,0.4829062032806824,770,753,792,685,0.4637779282329045,0.505581089954038,0.4846795090934713,0.7136360764503479
8,delta_stats,mlp,1337,0.511,0.5047542306741879,815,683,784,718,0.4780292942743009,0.5440587449933244,0.5110440196338126,0.7020282835960389
8,delta_stats,mlp,2027,0.485,0.4924755421787415,718,780,765,737,0.4906790945406125,0.4793057409879839,0.4849924177642982,0.7078900405565898
3,joint,mlp,1337,0.812,0.8742061578461983,1240,255,309,1196,0.7946843853820598,0.8294314381270903,0.812057911754575,0.503636353969574
3,joint,mlp,2027,0.8126666666666666,0.8732585917621306,1253,242,320,1185,0.7873754152823921,0.8381270903010033,0.8127512527916977,0.5102384559313456
4,joint,mlp,1337,0.5923333333333334,0.6301239449214672,886,621,602,891,0.5967849966510381,0.5879230258792303,0.5923540112651342,0.7117467562357584
4,joint,mlp,2027,0.615,0.6481932273191727,927,580,575,918,0.6148693904889484,0.6151293961512939,0.6149993933201212,0.7046367998123169
5,joint,mlp,1337,0.5063333333333333,0.5050558878837805,745,748,733,774,0.5136031851360319,0.4989953114534494,0.5062992482947406,0.7629713899294536
5,joint,mlp,2027,0.5116666666666667,0.5063212487738622,882,611,854,653,0.4333112143331121,0.5907568653717348,0.5120340398524235,0.7510557921727499
6,joint,mlp,1337,0.515,0.5136604431437533,697,787,668,848,0.5593667546174143,0.4696765498652291,0.5145216522413216,0.7206835522651672
6,joint,mlp,2027,0.5056666666666667,0.5083271696690823,746,738,745,771,0.508575197889182,0.5026954177897575,0.5056353078394697,0.730862448533376
7,joint,mlp,1337,0.489,0.4942677633985946,795,728,805,672,0.4549763033175355,0.5219960604070912,0.4884861818623134,0.7343675877253214
7,joint,mlp,2027,0.4956666666666666,0.4939959217078148,783,740,773,704,0.4766418415707515,0.5141168745896257,0.4953793580801886,0.7355071110725403
8,joint,mlp,1337,0.4953333333333333,0.4974951066579675,822,676,838,664,0.4420772303595206,0.5487316421895861,0.4954044362745534,0.727802570660909
8,joint,mlp,2027,0.493,0.4954031029388497,718,780,741,761,0.5066577896138482,0.4793057409879839,0.4929817653009161,0.7728630517323812
3,concat,siamese,1337,0.8626666666666667,0.9135203724485828,1321,174,238,1267,0.8418604651162791,0.8836120401337793,0.8627362526250292,0.4067378632227579
3,concat,siamese,2027,0.8573333333333333,0.9145070500783344,1301,194,234,1271,0.8445182724252491,0.8702341137123746,0.8573761930688119,0.4105128580729166
4,concat,siamese,1337,0.666,0.7196716728497643,1008,499,503,990,0.6630944407233758,0.6688785666887856,0.6659865037060807,0.64949764474233
4,concat,siamese,2027,0.6536666666666666,0.705294915311489,973,534,505,988,0.6617548559946417,0.6456536164565362,0.6537042362255889,0.6892666692733764
5,concat,siamese,1337,0.485,0.4816429335572197,792,701,844,663,0.4399469143994691,0.5304755525787006,0.4852112334890849,0.7301721439361573
5,concat,siamese,2027,0.499,0.4981557376138413,772,721,782,725,0.4810882548108825,0.5170797052913597,0.4990839800511211,0.7339612086613972
6,concat,siamese,1337,0.5103333333333333,0.5202471925694656,843,641,828,688,0.4538258575197889,0.5680592991913747,0.5109425783555818,0.7249382327397664
6,concat,siamese,2027,0.4953333333333333,0.4981011172826775,762,722,792,724,0.4775725593667546,0.5134770889487871,0.4955248241577709,0.7235451245307922
7,concat,siamese,1337,0.4906666666666666,0.4935422594912314,752,771,757,720,0.4874746106973595,0.4937623112278398,0.4906184609625996,0.744145003636678
